DateTime,Main Status,Sub Status,Full Status,Status Text,T,Service,FaultMsg,Value0
27-06-14 20:23,2,1,2:01,Lack of wind : Wind speed to low,1,FALSE,FALSE,3.1
27-06-14 20:26,0,2,0:02,Turbine operational,1,FALSE,FALSE,3
27-06-14 20:26,0,1,0:01,Turbine starting,1,FALSE,FALSE,1.9
27-06-14 20:27,0,0,0:00,Turbine in operation,1,FALSE,FALSE,5.4
30-06-14 10:35,0,8,0:08,Turbine in operation during maintenance,1,FALSE,FALSE,10.7
30-06-14 10:41,0,0,0:00,Turbine in operation,1,FALSE,FALSE,10.5
30-06-14 10:41,0,8,0:08,Turbine in operation during maintenance,1,FALSE,FALSE,10.4
30-06-14 10:41,8,0,8:00,Maintenance,6,TRUE,FALSE,11
30-06-14 14:16,0,8,0:08,Turbine in operation during maintenance,1,FALSE,FALSE,12.5
30-06-14 14:17,0,0,0:00,Turbine in operation,1,FALSE,FALSE,9.8
01-07-14 23:21,2,1,2:01,Lack of wind : Wind speed to low,1,FALSE,FALSE,1
02-07-14 5:37,0,2,0:02,Turbine operational,1,FALSE,FALSE,3
02-07-14 5:37,0,1,0:01,Turbine starting,1,FALSE,FALSE,2.9
02-07-14 5:41,0,0,0:00,Turbine in operation,1,FALSE,FALSE,2.7
03-07-14 14:59,228,100,228 : 100,Timeout warnmessage : Malfunction aircooling,6,FALSE,TRUE,11.7
03-07-14 15:06,222,3,222:03:00,Turbine reset : Scada system,6,FALSE,FALSE,2.6
03-07-14 15:06,60,2,60:02:00,Mains failure : Start delay,3,FALSE,FALSE,3
03-07-14 15:06,0,2,0:02,Turbine operational,1,FALSE,FALSE,7.5
03-07-14 15:08,0,1,0:01,Turbine starting,1,FALSE,FALSE,9.9
03-07-14 15:09,0,5,0:05,Calibration of  load control,1,FALSE,FALSE,11.3
03-07-14 15:10,0,1,0:01,Turbine starting,1,FALSE,FALSE,10.7
03-07-14 15:10,0,0,0:00,Turbine in operation,1,FALSE,FALSE,10.2
07-07-14 9:59,2,1,2:01,Lack of wind : Wind speed to low,1,FALSE,FALSE,0.3
07-07-14 12:06,0,2,0:02,Turbine operational,1,FALSE,FALSE,4.3
07-07-14 12:06,0,1,0:01,Turbine starting,1,FALSE,FALSE,4.6
07-07-14 12:10,0,0,0:00,Turbine in operation,1,FALSE,FALSE,2.5
07-07-14 13:54,0,5,0:05,Calibration of  load control,1,FALSE,FALSE,8.2
07-07-14 13:56,0,1,0:01,Turbine starting,1,FALSE,FALSE,6.6
07-07-14 13:58,0,0,0:00,Turbine in operation,1,FALSE,FALSE,6.1
07-07-14 22:44,2,1,2:01,Lack of wind : Wind speed to low,1,FALSE,FALSE,0.8
07-07-14 23:19,0,2,0:02,Turbine operational,1,FALSE,FALSE,2.9
07-07-14 23:19,0,1,0:01,Turbine starting,1,FALSE,FALSE,2.9
07-07-14 23:23,0,0,0:00,Turbine in operation,1,FALSE,FALSE,2
10-07-14 9:17,0,8,0:08,Turbine in operation during maintenance,1,FALSE,FALSE,3.3
10-07-14 9:17,8,0,8:00,Maintenance,6,TRUE,FALSE,2.9
10-07-14 16:10,206,411,206 : 411,No data from power control : Inverter control 11 CPU2 CAN2,6,FALSE,FALSE,5.7
10-07-14 16:13,0,0,0:00,Turbine in operation,1,FALSE,FALSE,6.2
10-07-14 16:13,206,411,206 : 411,No data from power control : Inverter control 11 CPU2 CAN2,6,FALSE,FALSE,6
10-07-14 16:14,222,1,222:01:00,Turbine reset : Power failure,6,FALSE,FALSE,2.6
10-07-14 16:14,1,1,1:01,Turbine stopped : Control cabinet,1,FALSE,FALSE,2.8
10-07-14 16:14,220,56,220:56:00,Processor reset : Fan inverter,6,FALSE,FALSE,2.8
10-07-14 16:14,220,52,220:52:00,Processor reset : Yaw inverter 2,6,FALSE,FALSE,3.2
10-07-14 16:14,220,51,220:51:00,Processor reset : Yaw inverter 1,6,FALSE,FALSE,3.3
10-07-14 16:14,1,1,1:01,Turbine stopped : Control cabinet,1,FALSE,FALSE,3.3
10-07-14 16:15,206,411,206 : 411,No data from power control : Inverter control 11 CPU2 CAN2,6,FALSE,FALSE,3.8
10-07-14 16:15,222,5,222:05:00,Turbine reset : Remote display,6,FALSE,FALSE,2.3
10-07-14 16:15,206,411,206 : 411,No data from power control : Inverter control 11 CPU2 CAN2,6,FALSE,FALSE,2.8
10-07-14 16:22,0,0,0:00,Turbine in operation,1,FALSE,FALSE,6.5
10-07-14 16:22,206,411,206 : 411,No data from power control : Inverter control 11 CPU2 CAN2,6,FALSE,FALSE,6.5
10-07-14 16:24,8,0,8:00,Maintenance,6,TRUE,FALSE,5.5
11-07-14 11:20,0,8,0:08,Turbine in operation during maintenance,1,FALSE,FALSE,2
11-07-14 11:48,0,0,0:00,Turbine in operation,1,FALSE,FALSE,2
11-07-14 11:53,0,8,0:08,Turbine in operation during maintenance,1,FALSE,FALSE,2.8
11-07-14 12:19,0,0,0:00,Turbine in operation,1,FALSE,FALSE,2.8
11-07-14 13:06,2,1,2:01,Lack of wind : Wind speed to low,1,FALSE,FALSE,1
11-07-14 14:10,0,2,0:02,Turbine operational,1,FALSE,FALSE,5.1
11-07-14 14:10,0,1,0:01,Turbine starting,1,FALSE,FALSE,4.8
11-07-14 14:11,0,0,0:00,Turbine in operation,1,FALSE,FALSE,4.9
12-07-14 6:48,0,5,0:05,Calibration of  load control,1,FALSE,FALSE,8.5
12-07-14 6:56,0,1,0:01,Turbine starting,1,FALSE,FALSE,8.1
12-07-14 6:57,0,0,0:00,Turbine in operation,1,FALSE,FALSE,7.7
13-07-14 18:12,2,1,2:01,Lack of wind : Wind speed to low,1,FALSE,FALSE,0.2
13-07-14 18:19,0,2,0:02,Turbine operational,1,FALSE,FALSE,7.6
13-07-14 18:19,0,1,0:01,Turbine starting,1,FALSE,FALSE,7.8
13-07-14 18:20,0,0,0:00,Turbine in operation,1,FALSE,FALSE,7.8
14-07-14 12:32,62,3,62:03:00,Feeding fault : Load shedding,6,FALSE,FALSE,11.5
14-07-14 12:32,80,21,80:21:00,Excitation error : Overvoltage DC-link,6,FALSE,FALSE,11.6
14-07-14 12:32,0,2,0:02,Turbine operational,1,FALSE,FALSE,9.3
14-07-14 12:35,0,1,0:01,Turbine starting,1,FALSE,FALSE,14.6
14-07-14 12:36,0,0,0:00,Turbine in operation,1,FALSE,FALSE,17.2
15-07-14 8:18,2,1,2:01,Lack of wind : Wind speed to low,1,FALSE,FALSE,1.2
15-07-14 8:52,0,2,0:02,Turbine operational,1,FALSE,FALSE,1.9
15-07-14 8:52,0,1,0:01,Turbine starting,1,FALSE,FALSE,2.1
15-07-14 8:56,0,0,0:00,Turbine in operation,1,FALSE,FALSE,1.3
17-07-14 4:47,2,1,2:01,Lack of wind : Wind speed to low,1,FALSE,FALSE,1
17-07-14 6:26,0,2,0:02,Turbine operational,1,FALSE,FALSE,3.2
17-07-14 6:26,0,1,0:01,Turbine starting,1,FALSE,FALSE,3.4
17-07-14 6:30,0,0,0:00,Turbine in operation,1,FALSE,FALSE,2
17-07-14 10:18,240,1,240:01:00,Remote control PC : switched off,5,FALSE,FALSE,0
17-07-14 10:20,240,0,240:00:00,Remote control PC : switched on,5,FALSE,FALSE,0
17-07-14 10:20,0,0,0:00,Turbine in operation,1,FALSE,FALSE,6.7
18-07-14 1:17,62,3,62:03:00,Feeding fault : Load shedding,6,FALSE,FALSE,11.3
18-07-14 1:17,80,21,80:21:00,Excitation error : Overvoltage DC-link,6,FALSE,FALSE,11.2
18-07-14 1:18,0,2,0:02,Turbine operational,1,FALSE,FALSE,11.6
18-07-14 1:20,0,1,0:01,Turbine starting,1,FALSE,FALSE,13.1
18-07-14 1:21,0,5,0:05,Calibration of  load control,1,FALSE,FALSE,6.1
18-07-14 1:21,0,1,0:01,Turbine starting,1,FALSE,FALSE,12
18-07-14 1:21,0,0,0:00,Turbine in operation,1,FALSE,FALSE,13
18-07-14 1:37,62,3,62:03:00,Feeding fault : Load shedding,6,FALSE,FALSE,12.7
18-07-14 1:37,80,21,80:21:00,Excitation error : Overvoltage DC-link,6,FALSE,FALSE,12.5
18-07-14 1:37,0,2,0:02,Turbine operational,1,FALSE,FALSE,16.3
18-07-14 1:39,0,1,0:01,Turbine starting,1,FALSE,FALSE,11
18-07-14 1:40,0,0,0:00,Turbine in operation,1,FALSE,FALSE,15.3
18-07-14 1:52,80,21,80:21:00,Excitation error : Overvoltage DC-link,6,FALSE,FALSE,10.7
18-07-14 1:52,0,2,0:02,Turbine operational,1,FALSE,FALSE,13.1
18-07-14 1:55,0,1,0:01,Turbine starting,1,FALSE,FALSE,13.8
18-07-14 1:56,0,0,0:00,Turbine in operation,1,FALSE,FALSE,12.1
18-07-14 7:45,2,1,2:01,Lack of wind : Wind speed to low,1,FALSE,FALSE,1.3
18-07-14 8:49,0,2,0:02,Turbine operational,1,FALSE,FALSE,2
18-07-14 8:49,0,1,0:01,Turbine starting,1,FALSE,FALSE,1.8
18-07-14 8:52,0,0,0:00,Turbine in operation,1,FALSE,FALSE,1.6
18-07-14 9:08,2,1,2:01,Lack of wind : Wind speed to low,1,FALSE,FALSE,0.5
18-07-14 9:54,0,2,0:02,Turbine operational,1,FALSE,FALSE,4.1
18-07-14 9:54,0,1,0:01,Turbine starting,1,FALSE,FALSE,4
18-07-14 9:56,0,0,0:00,Turbine in operation,1,FALSE,FALSE,3.2
18-07-14 15:56,0,5,0:05,Calibration of  load control,1,FALSE,FALSE,7.3
18-07-14 16:02,0,1,0:01,Turbine starting,1,FALSE,FALSE,7.7
18-07-14 16:03,0,0,0:00,Turbine in operation,1,FALSE,FALSE,6.9
18-07-14 22:21,2,1,2:01,Lack of wind : Wind speed to low,1,FALSE,FALSE,1
18-07-14 23:35,0,2,0:02,Turbine operational,1,FALSE,FALSE,1.7
18-07-14 23:35,0,1,0:01,Turbine starting,1,FALSE,FALSE,2.8
18-07-14 23:39,0,0,0:00,Turbine in operation,1,FALSE,FALSE,3.1
19-07-14 0:10,2,1,2:01,Lack of wind : Wind speed to low,1,FALSE,FALSE,0.9
19-07-14 1:26,0,2,0:02,Turbine operational,1,FALSE,FALSE,2
19-07-14 1:26,0,1,0:01,Turbine starting,1,FALSE,FALSE,2.1
19-07-14 1:29,2,1,2:01,Lack of wind : Wind speed to low,1,FALSE,FALSE,1.7
19-07-14 5:47,0,2,0:02,Turbine operational,1,FALSE,FALSE,2.7
19-07-14 5:47,0,1,0:01,Turbine starting,1,FALSE,FALSE,2.8
19-07-14 5:50,0,0,0:00,Turbine in operation,1,FALSE,FALSE,2.4
19-07-14 9:08,21,2,21:02,Cable twisted : Right (2-3 turns),1,FALSE,FALSE,0.5
19-07-14 9:47,2,1,2:01,Lack of wind : Wind speed to low,1,FALSE,FALSE,0
19-07-14 11:34,0,2,0:02,Turbine operational,1,FALSE,FALSE,4.2
19-07-14 11:34,0,1,0:01,Turbine starting,1,FALSE,FALSE,4.3
19-07-14 11:36,0,0,0:00,Turbine in operation,1,FALSE,FALSE,4.8
20-07-14 15:15,67,604,67 : 604,Overtemperature : Power choke inverter 4,6,FALSE,FALSE,4.4
20-07-14 15:16,0,2,0:02,Turbine operational,1,FALSE,FALSE,6.3
20-07-14 15:18,0,1,0:01,Turbine starting,1,FALSE,FALSE,6.4
20-07-14 15:19,0,0,0:00,Turbine in operation,1,FALSE,FALSE,6.6
20-07-14 16:43,2,1,2:01,Lack of wind : Wind speed to low,1,FALSE,FALSE,1
20-07-14 16:58,0,2,0:02,Turbine operational,1,FALSE,FALSE,3.7
20-07-14 16:58,0,1,0:01,Turbine starting,1,FALSE,FALSE,3.6
20-07-14 17:00,0,0,0:00,Turbine in operation,1,FALSE,FALSE,4.5
21-07-14 6:59,228,100,228 : 100,Timeout warnmessage : Malfunction aircooling,6,FALSE,TRUE,2
21-07-14 7:15,222,3,222:03:00,Turbine reset : Scada system,6,FALSE,FALSE,2.6
21-07-14 7:15,0,2,0:02,Turbine operational,1,FALSE,FALSE,3.4
